name,bio
Rift Watcher,"Watchers were the first real threat to this world because of their superior
knowledge of magic. When they arrived, they appeared to be playful and
harmless creatures. Some even thought they were a gift from the Gods. But
when their numbers were large enough, they mercilessly attacked the first
human cities and reduced them to ashes and rubble.

Rift Watchers like rocky caves, where they usually join a colony of bats,
sleeping next to them and chasing away their predators.
"
Rimefist Yeti,"The ice club that this creature carries has mystical properties. It is believed to
contain the core of a Coldslam Yeti, though the Rimefist can only channel its
powers to summon blizzards during battle. Some Magi have tried to replicate
its effects, but the only thing they have achieved after hours of meticulous study
and experiments is a puddle of cold water on their tables.
"
Rimeskin Spellmane,"Spellmanes are extremely territorial, and they do not tolerate under any
circumstances the presence of another member of their species, unless it is
their offspring.

The Frostbite Caverns are home to the Rimeskin. To hunt travelers and other
creatures, they very often scale the icy walls with their sharp claws to climb to
the ceiling, posing as stalactites. When their prey passes under them, they only
have to drop down to end its life in a quick and grisly way.
"
Ritual Abomination,"The movements of an Abomination's bady are controlled by the main head.
However, the task of casting spells falls to the secondary head, and sometimes
they find it hard to agree on what to do during battle.

Free Ritual Abominations often gather in the Unsullied Meadows to gaze at the
stars in silence. During that time, they have access to each other's minds and
share their thoughts of peace and serenity.
"
Roaring Basilisk,"The mane and scales of the Basilisks make them greatly resilient. If they are
attacked from behind, they lean on their claws and deliver a powerful whiplash
with the rest of their bodies.

Roaring Basilisks have the mast powerful voice of their kind. When they are
young and cannot control their power, their voice makes everyone around them
faint. It takes these creatures years of practice to avoid knocking out their allies
as well as their enemies.
"
Rock Imling,"Occasionally, the embryo of a Boulder Imler that is exposed to magic is not
severely affected by it. The result is a cocky, mischievous Imling of greater
physical strength who likes to dig with Imlers, using its powerful horn to remove
dirt and break rocks. Despite its arrogant attitude, it often encourages a Marble
Imler to help it with easy physical tasks so that it does not feel different from its
kind.
"
Rockmoss Gemling,"Dragan was certain that once he opened the portal to the dimension where the
Carbuncles had lived in peace for centuries, the Gemlings would cross it to
guard them at all costs. Fortunately, he was not wrong.

Most Gemlings levitate and move quickly among other creatures. However,
Rockmoss Gemlings never leave the ground, and instead try to run into their
enemies to make them fall.
"
Roofstalker Wight,"It was first seen in Undolim, on top of the temple of Surathli. It was described
as an elusive specter that disappeared when its presence was perceived by too
many. During the night of the winter solstice, a child discovered a large number
of these creatures walking on the roofs. Luckily, her mother verified that it was
true and immediately notified the authorities, preventing the Roofstalker Wights
from massacring the faithful who were preparing to celebrate the festivities in
the temple.
"
Roost Watcher,"This creature specializes in sneaking into mansions and castles at night. It
wanders around the corridors, waiting for someone to get up for a visit to the
pantry or to empty the bladder. It uses its knowledge of light to cast a long
shadow on the ground, scaring anyone who sees it. When they are terrified
enough to ignite a stronger light, it suddenly appears in front of them with its
characteristic smile and attacks with a powerful spell.
"
Roseaea Fae,"Fae are peaceful and joyful creatures who do not know envy or greed. They are
intelligent and help any creature who needs it... as long as it is not the prey of
another Fae.

The most aggressive Fae are undoubtedly Roseae fae. Not only are they the
first to go on the attack, but they also lead the others into battle and continually
shout to boost the morale of all their allies.
"
Rosy Beacon,"Beacons feed only on flowers, but are able to survive by eating just a few every
day. To maintain the forest's balance, they often plant trees and shrubs so that
other species are not affected by their presence. All beacons participate in this
activity, but the Rosy Beacon has the most important role in it, as it is the only
one who can create flowers with its power. In this way, it can help the bees with
pollination, or its own kind to feed themselves on a particularly rough year.
"
Rotten Carnage,"Although a Carnage's murderous instinct cannot be suppressed, it can be
tamed to obey its master from a young age. Of course, their masters are
sometimes surprised by a sudden attack from their pet, a surprise that lasts but
a brief moment before they die.

The Rotten Carnage is always shedding its skin, and it needs to eat often to
prevent its entire body from rotting away.
"
Royal Phoenix,"Despite their evasive behavior, there are a few men and women who have
established a special bond with a Phoenix. They are known as Phoenix
Knights, and they ride on the backs of these creatures to enforce justice.

When a creature is resurrected, a small discharge of space-time energy is
generated around it. A Royal Phoenix can concentrate this energy on the
recently-revived creature to make it incredibly fast for a few moments.
"
Ruby Carbuncle,"The Ravens were firmly determined to protect the Carbuncles from the
humans, which led them to discover certain secrets about dimensional magic
which were very advanced for their time. That, especially, caught Vertraag's
attention.

The fur of a Ruby Carbuncle prevents heat loss even in very cold temperatures,
so other than plucking the gem on their foreheads, humans also skinned them
to make clothes. They stopped doing so when it was discovered that in the long
term, clothes made from their fur caused human skin to dry and peel off.
"
Ruby Paragon,"Every Paragon gives off a powerful magic aura that can turn the tides in battle.
During the Unification War, the Paragons chose their battles well and helped
the side that wanted to unify the kingdoms into a great nation.

The Ruby Paragon values peace and tranquility above all things and condemns
violence. During the Unification War, an important battle in Neralim was lost
because these creatures decided to protect the civilians inside, rather than
forming lines outside the city.
"
Runic Grimoire,"Grimoires love being read and enjoy being transported along with other books.
When they find an individual that is willing to read their pages, these creatures
usually stay by their side forever, unless abandoned.

When Apollinaire left the Columbia Tower, the Hidden Grimoire and the rest of
them who decided to stay took the ripped pages from the Necro Grimoire and
used them to give life to the Runic Grimoire.
"
Ryetrap,"Shortly after their organization was founded, the Auditors observed a
phenomenon that seemed to occur all over the world, and that often
manifested in the royal families of Rodia's kingdoms.

Due to the dangerous ability of Alementals to get people drunk, liberd advised
the ruler of Nex to forbid the owners of these creatures from setting them free.

Although its body is made of beer, the Venus Ryetrap is terrified of fire, as it is
aware of the damage it can cause to the forests. It remains motionless at night,
and some believe it is stalking prey, but it simply has its eyes fixed on a torch.
"
Sabertooth Manticore,"The bite of the Sabertooth Manticore is as good as that of the Martyaxwar, but
its fangs are so durable that they can also block sharp weapons as if they were
a shield. Sooner or later, the fangs suffer visible damage or even break off.
Luckily for this creature, it can shed them once a month, and they only take
four days to regrow, as strong as they were before.
"
Sadomasochist,"Finding the Torture Chamber was easy for the seven Rodian adventurers, but
traversing its corridors turned out to be harder. Together they had to defeat not
only Tartarith's Doomguards, but also the worst criminals in the country who
had been sent there.

Even in the most difficult battles, the Sadomasachist prefers to cause endless
superficial wounds to make its enemies suffer instead of killing them.
"
Sand Giant,"Giants have a tough, violent and utterly disrespectful personality, as well as a
mean face, all in the image and likeness of their one true God.

Thanks to the composition of its body, the Sand Giant can regenerate any of its
limbs in a matter of seconds as long as it is still alive. When Vulcanar saw this
huge and ""I@#$ING MAJESTIC"" creature, he decided to ignore the advice of
the Goddess of Illusion and create something that stood out even more in order
to irritate the God of Anger.
"
Sandstone Imler,"Imlers are not known for their cunning, but for their brute force. Imlings may
take advantage of them when making decisions or sharing benefits, but they
generally ensure their welfare.

The devotion that the Sandstone Imler feels toward Imlings prevents it from
distrusting them, even if its closest Imling partner warns it of some trick.
"
Sanguine Masochist,"As they walk the endless corridors of the Torture Chamber, mast visitors feel
their morale weaken with every step. Blood-stained walls, darkness lurking
behind every corner, heartbreaking howls, and, above all, the smell of death.
No one forgets the smell of death.

In spite of its diabolical appearance, the blood of the Sanguine Masochist has
healing properties and can undo most curses. In another time, this creature
may have been a talented Life Mage.
"
Sapphire Carbuncle,"It took half of the Raven population of Crux to build a new home for the
Carbuncles. When the ritual began, trails of light quickly shot into the air over
the squawks and arcane movements that guided the magic towards its
manifestation. But Vertraag had not revealed the price they would pay. When
the door to the new world opened at the top of the city's magic palace, the
Ravens who had participated in its creation lost their lives and collapsed on the
cobblestones of their own home. A few, perhaps fortunately, managed to see
the Carbuncles start their long journey before closing their eyes forever.

The Sapphire Carbuncle appeared after that and stayed with the Ravens,
guarding the Rod of Ruin for thousands of years. However, now that the
Temple of Lies is accessible, it has joined its kind to protect their lives.
"
Sapphire Paragon,"Adter the unification of Rodia, most Paragons left the military to devote
themselves to other activities. Some had forgotten their true purpose, corrupted
by the selfish desires they had learned from humans.

The Sapphire Paragon's body is the most resilient of its species. An
extraordinary force is necessary to damage it. In addition, even glass and
porcelain seem to be made of stone when this creature is near.
"
Satyr Dominator,"Like the people of Vanelin, Satyrs have extensive knowledge of the art of war.
They are great strategists and always in control of the battlefield, making it
almost impossible to catch them off guard.

For some reason, some Satyrs are born with two extra arms. These Satyr
Dominators are much more aggressive and crave battle above all else, leading
them to always be on the frontlines, and also to suffer a greater number of
wounds.
"
Satyr Guardian,"Satyrs soon began trading with the other intelligent species of the Blood Grove
— the Inquisitors. They traded fruit, cattle, tools, and knowledge for silk,
different cattle and a variety of metals and minerals.

To safeguard the well-being of their people, some Satyrs protect the most
vulnerable areas from attack, but Satyr Guardians are never alone. Whether
they like it or not, the nature of the Unleashed Satyrs has made collaboration
between the two a necessity.
"
Satyr Rammer,"The Satyrs built passages that connect the strongest trees to the underground
world, inhabited by the Inquisitors. To do this, they emptied the interior of these
trees and built ladders to allow easy access between the treetops and the
underground.

These creatures charge head on regardless of the size or strength of their
opponent, taking advantage of their horns. If a Satyr town suffers a massive
attack, they jump from the trees and plummet to the ground, sacrificing
themselves while taking several Ets with them.
"
Satyr Squire,"Satyrs originally came from the kingdom of Vanelin, fruit of the union of the
barbarian tribes and the great northern cities of what would later be known as
Rodia. Because of this, their worship of the Gods is somewhat contradictory,
given that they routinely worship Gonfurian as well as Aeolian and Surathli, two
deities who do not share the God of War's taste for blood. However, some
Satyrs such as Rammers and the Unleashed prefer the teachings of Gonfurian.

Satyr Squires guard the backs of their most fearless Satyr allies, especially the
Unleashed. Furthermore, they frequently patrol the suspension bridges and
wooden walkways that link their treetop homes to ensure no Efts have climbed
up to unleash chaos.
"
Saurel,"These creatures are the only ones Reclusa has given life to, and they are found
throughout the Gambler's Hive. Their main job is to work as dealers, and they
will not hesitate to punish anyone who cheats, sparks altercations or shows
violent discontent. They are quiet and extremely serious, and rarely
communicate for anything other than the games they run. In their spare time,
they read and discuss various topics with other Saurel. Many of them have
written books and poems, some of them famous in nations like Rodia or
Kiaces, to the point of being among the best sellers.
"
Savage Banshee,"This creature emerged from the pieces of the first God of Darkness's skull.
Unlike other Banshees, it is very aggressive and tries to destroy everything in
its path. Its screams can stop the heart of a weak-willed person, and a touch of
its hand leads even the happiest people to despair. Aware of the danger this
creature posed, Erebyss decided to destroy it. However, it has managed to
regenerate over the centuries, and soon the time will come for it to sow chaos
in Rodia.
"
Sawback Manticore,"Manticores were a calamity for humans during the rise of their early
civilizations. Today, children are still warned of the dangers that these creatures
entail.

The Sawback Manticore shows many openings while it fights, waiting for its
opponent to strike before crouching and becoming a deadly trap. It can also roll
across the floor like a spiked ball and throw itself on its enemies if they are far
enough.
"
Scheming Wisp,"Adter a preliminary investigation of the Wisps, there are reasons to believe they
are creatures born from the residual energy of all the curses cast since the
creatures of this world began to use magic.

Of all Wisps, the Scheming Wisp takes revenge in the most elaborate ways. A
wealthy citizen of Undolim reported that, after having buried her sister, she
found her body lying in the middle of the hall at night. The body's eyes
suddenly flashed blue and it stood up, pulling a knife from its dress. Although
the woman managed to defend against her sister's possessed body until some
Gargoyles subdued it, the authorities in the capital found out days later that she
had poisoned her sister so she could collect the entire inheritance.
"
Scotchpion,"Aiter ascending to godhood, the ruler of Siralim's ambition and arrogance were
completely unleashed. As punishment for drinking too much, Siralim's
tavernkeeper was transformed into a terrible creature.

The people of Radia find it hard to describe the personality of Alementals,
mainly because they were recently created. The Scotchpion is a dangerous
beast that is fortunately never found in the wild. Its aggressive nature drives it
to break everything in half, and its stinger can inflict serious injuries and a state
of instant inebriation.
"
Scourge Mummy,"The priests and priestesses of Kaito often practiced low-level magic. They
knew how to enchant items, perform rituals and even developed a power curse,
whose scope they completely ignored.

The Scourge Mummy's target was not the humans. At least, not directly. When
this creature entered a town or a city, it touched the walls of the houses,
starting countless fires.
"
Scourge Ossein,"There is some debate about the possibility of certain creatures, such as
Golems and Osseins, being sentient. The latter species also shows behaviors
that contradict its supposed automaton nature. This is more pronounced in the
Scourge Ossein now that a few specimens have begun to live in more diverse
environments that look nothing like the Titan's Wound. This breed prefers to

live in forests and reefs full of life, which it never attacks under any
circumstances, even when it is sometimes bitten or clawed at. However,
anyone who threatens these ecosystems will meet a premature and bloody end.
"
Scourge Smog,"The Smogs are entities blinded by rage, who seek revenge against all the
inhabitants of Rodia. They are a constant problem for the humans and Pilwiz
who work the land, because of the resentment they feel toward these activities.
For their part, farmers especially detest the Scourge Smog, as the red smoke it
emits can quickly dehydrate the crops. Entire harvests have been lost because
of these creatures.
"
Sentry Bot,"If the Auditors"" goal of bringing peace to the world were fulfilled, the next step
would be to apply what they learned at Ubi Concordia to improve the quality of
life of all creatures.

Sentry Bots patrol the streets of Ubi Concordia at all times in search of
lawbreakers, though their laws are quite lax, focused on not harming others or
the environment. These sentries speak in a metallic voice while a green light
moves from left to right in their visors.
"
Sentry Guard,"Five years after the construction of the Torture Chamber, Taylor became
interested in Nether Orbs. He was the first to study them, and he soon received
a visit from Vertraag, who said he was fascinated by his prowess both as a
Mage and a murderer and offered him the opportunity to become a God. In his
arrogance, he accepted, then organized a tournament to celebrate the
occasion. The winner, a veteran warrior from Sithicus, was led to Taylor's
chambers, where he turned him into the Sentry Guard.
"
Servant Hunter,"Sometimes, a group of Hunters is defeated by other creatures or by the ruler of
a kingdom on their way to conquer all of Radia. If one of them survives, it will
look for another group of Hunters to join so that it can be among its own and
survive. However, when this happens, it becomes the lowest in the hierarchy of
the group and must obey every order it receives.
"
Shackled Gargantuan,"When Torun was creating the Gargantuans, he used his power indiscriminately
over different mountains. One of them was cursed, and this creature was born.
It woke up full of unbridled rage and began to destroy everything in its path.
Torun was disappointed, as it is not necessary to kill mortals to humiliate them.
However, he also felt pity. He finally decided to chain it and leave it hidden,
hoping that it would change its attitude over time. It only took two days for him
to forget about it.
"
Shadow Carnage,"Carnages can perfectly adapt to any situation, making use of their seven limbs
or their terrible jaws depending on their enemy's skill. One of them could
massacre a small town without much difficulty. It is for this reason that Erebyss
forbade them from getting close to civilization unless it is under the command
of a person wha can control them... or until she rescinds the order.

The Shadow Carnage can open portals to and from the Path of the Damned
and catch its enemies by surprise.
"
Shadow Cobra,"There once was a smart young man who decided to play with shadows. His
prcject was an ambitious one; his talent, engraved in his blood.

Like other animal Shadows, the Shadow Cobra has kept its instincts, but is now
much more dangerous due fo its large size. That's why they are a precious
asset for adventurers and thugs, as they are easy to train for battle.
"
Shadow Demon,"The boy's obsession was such that he would not settle for anything less than
complete mastery over the shadows. Over time, he learned to control them, to
give them shape, to alter their size.

Unlike most normal Gargoyles, Shadow Demons do not care about keeping
innocent people safe at night. Instead, they are dedicated exclusively to murder;
and they learn fast. Some have already infiltrated the capital of Undolim,
pretending to be other Gargoyles’ shadows until the moment an unsuspecting
person turns their back.
"
Shadow Juggernaut,"Aiter a few months, the boy managed to make his own shadow interact with
the physical world, first by moving small objects, then by holding them. But
those were only his first steps.

The Shadow Juggernaut glides across surfaces at full speed, like a black stain
that portends disaster. It may look light, even flimsy, but when it rises from the
ground it rises as a calamity. Its fists can shatter stone and pulverize bone, and
it can effortlessly charge through walls, smashing anyone who gets in its way.
"
Shadow Moth,"A year had passed since the Shadows became that boy's whole life, and he
had completely mastered them. With them, he scared his neighbors and
schoolmates, and occasionally made the Shadows hit them when they made
him angry.

Shadow Moths have started to worry the local authorities. Although their
behaviour is mastly the same as that of normal moths, their large size frightens
the locals, who often anger these creatures when trying to scare them away,
causing them to attack. It has recently been found that luckily, the creatures
who can create other Shadows can only do so once a day.
"
Shadow Reaper,"Reapers are intelligent beings who know all kinds of languages. However, they
consider the concerns of mortals trivial and rarely communicate with them.

It is believed that the Shadow Reapers are the purest of their species. When
their scythes take a life before its time had come, they generate a space-time
distortion that accelerates the aging process of any creatures around them.
During his investigations, Zonte designed a spell to reverse this effect.
"
Shadow Wolf,"Adter all his hard work, the young man learned how to enter his own shadow.
He could move across the floor and walls like a light breeze; he felt weightless
and free, as if he could fly.

A lone Shadow Wolf may not be a big threat to an average adventurer, but
these creatures tend to band together in small groups in the wilderness, and
rarely hunt unaccompanied. For this reason, straying far from the roads of
some regions, especially in the kingdom of Andolin, is tantamount to suicide.
Shadow Wolf packs sneak through the woods, stalking their prey, who never
realize the danger before being surrounded by their jaws.
"
Shadow Zealot,"But one day, he went too far. He decided that his mastery would not be
complete until he could separate the shadows themselves from their bodies. To
achieve his goal, he developed an item, a knife imbued with now-forbidden
magic. Blade in hand, he cut his own shadow, separating it from himself and
cutting off his soul and his sanity. His body fell to the ground, lifeless, and his
Shadow rose in a frenzy. A Shadow who could create other Shadows like itself.
A Shadow who could dominate them and call them to war. A Shadow that,
finally, was sealed away along with the army it had gathered.
"
Shallan,"Unlike the Fae, Shallan is quiet and calm. She spends most of her time lying
down or flying slowly while watching over her realm, although she does
occasionally approach other creatures to play with them, tell stories, or simply
strike up conversation. Now that the Auditors have found a way into the realm,
she is not at all happy due to the influx of looters. She has ordered all Fae to
attack any intruder, especially those who try to cut down trees or take the
creatures that inhabit the Fae Lands.
"
Shambler Benefactor,"James's pirates once went underwater to visit small Revenant settlements. In
one of their temples, they found engravings of creatures none of them had ever
seen before. According to Revenant culture, it was an intelligent species who
inhabited the Boreal Ocean and went extinct thousands of years ago. Their
knowledge of magic rivaled that of the Ravens, and they tried to rule over the
depths until, one day, they suddenly stopped attacking the Revenants.

The Shambler Benefactor is all that is left of that species, and it has lost all
vestige of its former intelligence. James's pirates jokingly decided to name it
Benefactor, as they never would have become undead had it not been for its
curse.
"
Shambler Juggernaut,"About half of William James's fleet was lost in the waters, not because of a
storm, but because of the creature who kept grabbing the ships that survived its
attacks. That forgotten, grotesque beast, larger than any boat, was named the
Shambler Juggernaut after the pirate captain and his comrades finally
managed to subdue it. Soon after landing in Rodia, the captured Juggernaut
they had carried with them laid a clutch of eggs, and the pirates, wanting to
rebuild their fleet, decided to sell them. Like their mother, these new
Juggernauts are fearsome foes both on water and dry land, but also very easy
to tame.
"
Shambler Recruiter,"When William James told the dean of the Magic University of Ahruna about his
curse, the dean raised the possibility that perhaps the treasure had only ended
their lives, but they were unable to die due to the curse in those waters.

Like the Amorphous Shambler, the Recruiter can float in midair; and like the
Innocent, it tries to devour prey from time to time. On many occasions, they
simply gobble up birds or fish, who come out the other end of their jaws without
much difficulty. Others get caught between the ribs by accident and cannot get
out. This is how they first found the Benefactor, and in gratitude and laughter
they named this creature ""Recruiter"".
"
Shambler Rescuer,"The sea is vast and full of hazards, some natural and others not so much.
Shipwrecks are relatively common, and often spell death for the crew members
who manage to stay afloat after the ship has sunk. All is lost for them... unless
it is their lucky day, and a bony hand emerges from the ocean to bring them to
safety. There are many stories and legends about these mysterious creatures
who never utter a word... if they can speak at all. They do not expect anything
in return nor do they communicate in any way with the people they save; they
simply appear when they are needed most, saving victims of shipwrecks or
guiding wandering ships that had lost their way. Some say they come from the
world of the Plague Doctors, others think this is a species who suffered the
same fate as the Shambler Rescuers. When James landed on Rodia, he
brought some of these creatures with him, but his crew never mentioned
seeing them in any of the Revenant engravings.
"
Shapeshifter Novice,"The malleable structure of Shapeshifters allows them to take on the
appearance and physiological functioning of other species. These creatures
must first learn certain principles about transformation and taxonomy.

An Apprentice has not mastered these principles yet, and its transformations
are incomplete or unsuitable, sometimes even spontaneous. Their abilities are
affected by the lunar phases, especially by the full moon, which causes
involuntary transformations while they sleep.
"
Shogun,"Not all humans tried to enslave Brownies at the same time in all regions of the
world, but it happened everywhere due to the ambitious nature of the former.
Unfortunately, the Brownie rebellion did not prosper in some parts of the world.
Shoguns come from such countries, places far beyond the seas where only the
strongest can be free. However, many have grown tired of living as fugitives
and have migrated to other regions in search of a new life.
"
Siege Automaton,"A pitched battle between two mafias devastated Irizen, a town in Andolin. By
the time the authorities arrived in what was left of it, they found only the
criminals’ bodies and hundreds of civilian casualties.

A group of Skeletons managed to get ahold of the Automaton blueprints and
built Siege Automatons to assist them in their skirmishes. Their shots can go
through walls even at long distances if they are charged for a minute before

firing. In addition, they can release highly pressurized air that allows them to
jump very high if they aim their cannons at the ground.
"
Siege Clockwork,"Clockworks make sure that everything in Damarel works properly. Each one
has its role, and they only act based on contingencies that are rarely too
complex.

Alexandria built the Siege Clockwork for the purpose of transporting material
from one place to another through the intricate maze of rails that runs through
the cogs of Damarel. Nowadays, with the arrival of outsiders, these creatures
also transport other Clockworks so they can face any threat as quickly as
possible.
"
Silent Hunter,"Due to unknown circumstances, some groups of Hunters become evil and
travel Rodia while committing misdeeds. At the head of such groups there is
always a Silent Hunter, an individual that carries no religious item, which leads
scholars of non-human sacieties to believe they do not profess any faith. They
are extremely cruel and bloodthirsty, and often plunder small villages and
towns at night, stealing everything they can carry and murdering the inhabitants
in cold blood.
"
Silver Imler,"In their societies, Imlers work as miners and diggers. Along with the Imlings,
they establish their settlements in mountainous regions. The bonds between
them are strong, forged from a very young age, and it is rare to see an Imler
without an Imling partner.

The protuberances in the Silver Imler's shoulders sell at a high price in the
black market. Their Imling partners try to convince them to remove them so
that they are no longer a target for poachers.
"
Silverbone Construct,"At present, some Constructs serve as labor for the heavier jobs such as
construction or mining. When the war against an old ruler of Siralim came to an
end, they became important assets in the reconstruction of the country.

When a Silverbone Construct meets an enemy, the eyes on its armor's skulls
shine with a ghostly blue flame. An eerie voice then emanates from within,
whispering continuously, until it suddenly explodes into a bloodcurdling scream.
This feature was added for frightening enemies, but in the end, it mainly served
as an alarm during attacks, and to scare civilians so they got to safety more
quickly.
"
Silverclaw Griffon,"In every flock of Griffons there are keen individuals with natural talent for battle.
These birds have a greater chance of reproducing and are always considered
leaders within their flock. When faced with an enemy threat or the need to
attack, they lead the charge and let the other Griffons know the strategy
through a wide range of calls.
"
Singerbread Man,"These creatures are not really made of gingerbread. If so, any blow could
cause them to crumble and it would be impossible for them to enter battle.
They are intelligent and inhabit a forest southeast of Undolim. They are
excellent bakers, and there are actually several cooking schools throughout
Rodia where these creatures teach. Gingerbread cookies in the shape of men,
typical in Rodia, were first baked when a student made some for his
Singerbread Man teacher, baking them in its own appearance.
"
Siralim Seraph,"Helmholtz and Milner, two Magi of legend, had the idea of uniting every
kingdom into one country to stop the impending catastrophe. After long talks
were had and deals struck, six kingdoms acceded, but the rest rebelled after
their refusal.

The Siralim Seraph's blade represents courage, a flame that no storm can
extinguish. It leaves a trail of fire that fills people's hearts with bravery. If its
allies are in danger, it channels every last drop of its energy into a barrier that
few can pierce.
"
Siren Ascendant,"The songs of the Sirens are well known by the sailors and pirates who sail the
seas. It begins as a distant, soft, almost ethereal murmur, but as one listens
more closely, the voice becomes irresistible and it is too late to turn back.

The Siren Ascendant is a creature of incredible power who uses its eye of
providence to effortlessly curse its enemies. If the eye is destroyed or removed
by force, it regenerates after a few days.
"
Siren Beguiler,"Sirens do not always sing with the intention of harming others. However, many
of them inhabit the oceans, and make their homes near rocky elevations where
a ship could easily run aground.

The song of the Siren Beguiler evokes the feeling that great riches can be
found in the direction of the sound. Many sailors have learned to distinguish the
song, and they fire the cannons of their ships when they hear it to scare the
creatures away.
"
Siren Coercer,"Sirens were once peaceful beings who over the years witnessed the atrocities
of humans and other intelligent creatures. Today, many of them feel the need
to punish mortals.

The Siren Coercer has learned much from other intelligent beings and knows
how to wield their weapons and tools. At night, it sneaks into the cabins of the
ships and murders the sleeping sailors one by one, plunging its knife into their
chest.
"
Siren Lifetaker,"The Siren Lifetaker was once a Coercer who, after decades of living in this
world, decided to get serious. It only acts at night and it moves stealthily,
avoiding being seen by crowds. It is observant and cautious, and only begins to
sing when it knows it has the advantage over its victims. Its song, perfected for
years, is much more effective than that of the other Sirens. When its audience
approaches, it glides gracefully and lets the edge of its scythe slice each neck.
"
Siren Oracle,"Many Sirens have the ability to charm weak-willed creatures with their songs to
make them obey their commands.

The Siren Oracle has a crystal sphere with which it can supposedly see visions
of the future. Many of them use it to manipulate people who have chosen dark
paths, revealing disastrous events that will unfold if they continue on that path.
"
Siren Purifier,"Siren Purifiers can smell evil miles away, but their senses have atrophied
because of the sheer number of stimuli they receive constantly. They are
unable to differentiate between true villainy and simple selfish actions without
importance. These creatures can summon blue fire in the palm of their hands
that makes any creature hit by it fall asleep. This is especially dangerous for
ships at night, as the Siren Purifier often targets the helmsperson and causes
the entire crew to lose their way.
"
Siren Soothsayer,"No mortal knows for certain how the Siren Soothsayers came to be. Some
believe they were born from the laughter of Lister. Others, that they were
created by Tartarith to torment humans. When the gem on their forehead
begins to glow, every creature around them receives visions of horrible events,
and an unquestionable certainty that they will come to pass in the future.
However, this only happens in battle. Some testimonies state that the glow
produces hopeful images in other situations.
"
Skelegoop,"Fifteen hundred years ago, there was a war between two kingdoms—the
humans and other creatures of Ercath against the Solomons of Pherior, a
species of hominid rhinoceros that only inhabited that land. This species
believed all kingdoms had to abide by their laws, and they never surrendered,
even when not a single warrior was left alive. A necromancer Solomon who
had studied magic in Siralim managed to revive some of his own kind by
creating the Skelegoop. They say the purple, goo-looking glow surrounding its
body is the will of the Solomon to enforce their laws. At present, this species
has advanced, and it seems like it is no longer interested in imposing its laws,
although they remain very strict in their own kingdom, so Ercath, Rodia, and
other nations are paying attention to their movements just in case.
"
Skeleton Buccaneer,"William James was a famous pirate captain on the other side of the ocean; but
after being afflicted with a curse, he left for distant lands with all his fleet,
searching for the Mercury Cross, a legendary item able to put an end ta it.
Now, he and his crew are trying to amass a large enough fortune to rebuild the
ships they lost and sail anew. His favorite technique is to use his grappling
hook to pull his opponents closer and shoot them, kicking the lifeless body
when it is close enough.
"
Skeleton Cannoneer,"This small-time outlaw specializes in raiding caravans. It stays hidden behind
the bushes and shoots at the wheels to damage them with its powerful
weapon. It then lets its teammates do the dirty work, though if it looks like they
are at a disadvantage it will attack the enemies, pulverizing limbs and armor
with a single shot.
"
Skeleton Gunslinger,"With its face hidden behind a bandana and its hat leaning forward, the Skeleton
Gunslinger is able to sneak into a city unnoticed, even when it is under heavy
guard. It looks for strong opponents worthy of using its rifles and challenges
them to a duel in the middle of the road, and it usually wins. When it needs
money, it usually robs large mansions, city halls, or any building that looks
profitable enough.
"
Skeleton Marksman,"Able to take on large groups on its own, the Skeleton Marksman walks in a
slow and cocky way towards its opponents, shooting ruthlessly in all directions.
When that is not enough to make them flee in disarray, it will skillfully slip
among any enemies that manage to approach, causing serious injuries with
well-aimed shots of its firearms. If there are survivors, it will tie them to a horse
and drag them down the road until they die.
"
Skeleton Mortarman,"The Skeletons used to be pirates in unknown waters some time ago, but now
they have no choice but to wander Rodia, committing all kinds of misdeeds.
The spread of this creature's weapon allows it to hit several enemies at once if
they are close to each other. The Skeletons that travel with it often keep an eye
on their belongings, as it has been known to steal coins and use them as
bullets once it runs out of ammunition.
"
Skeleton Sniper,"These individuals arrived in Rodia not long ago, in a large fleet of ships that
was stranded on the coast after a heavy storm. They come from a very distant
and completely unknown land, and their body is devoid of flesh and organs due
to a curse they received on an island full of ancient treasures. They usually
attack from a distance with technology that does not exist in this country, and
though the shots of the Skeleton Sniper are not exactly deadly, they do have a
long range.
"
Skeleton Triggerman,"The Skeleton Triggerman is the most swashbuckling of its kind. It likes to sneak
into big cities, go into taverns of lesser repute and shoot up the place for fun.
Thanks to its reckless behavior, the main weakness of its species was quickly
discovered: the only way to defeat them for good is to damage their skulls. It
also seems to like drinking whiskey, though it spills on the floor through the
cavity of its throat.
"
Skull Devil,"The Skull Devil can make flowers wither or slowly extinguish a person's life. But
it does not always have such patience. Skull Devils need to reap at least one
life every day or they become dust, but, as they are banned from all the cities in
Rodia, they wait in areas where merchant caravans usually camp for the night.
When a group of travelers arrives, the Devil comes out of the shadows and
uses its scythe to cut off the head of any traveler who wanders off from the
group.
"
Sky Watcher,"Many of Surathli's faithful, rejoicing at these creatures’ arrival, invited them into
the temples erected in her name. Days later, the Goddess of Light watched the
slaughter helplessly, pitying the mortals who had trusted the Watchers. The
battle seemed lost, for no human or creature was able to stop the Watchers’
advance.
"
