name,description,material_name
Bottom Feeder,Your creatures' Scourge spells also afflict the target with a debuff that is based on the type of Scourge spell that is Cast. This trait does not stack.,Viridian Carrot
Prey,"At the start of battle, your creatures gain a Scourge spell that matches their class. This trait does not stack.",Volatile Carrot
Whimsical,Your creatures' Scourge spells deal 100% more damage. This trait does not stack.,Volcanic Carrot
Furness' Decadence,Your creature can Cast Booze Spells without consuming Charges.,Broken Bottle
Furness' Instability,"At the start of this creature's turn, it Casts one of its non-Ethereal Booze Spell spells.",Pills
Furness' Stupor,This creature's Booze Spells are 100% more potent.,Dried Vomit
Master of Wolpertingers,"If all the creatures in your party are Wolpertingers, their Scourge spells always deal critical damage and have a 50% chance to be cast 1 additional time.
This effect can occur multiple times in a row. This trait does not stack.",Sigil of the Wolpertinger
Wings of Despair,"When an enemy would gain a buff, this creature has a 50% chance to gain it instead.",Airslayer Head
Fallen Star,"When an enemy would gain stats, this creature has a 50% chance to gain them instead.",Daybreaker Head
Deep Inhalation,"After an enemy Casts a spell on all your creatures, this creature has a 50% chance to Cast the spell on the enemy creatures as well. This trait does not stack.",Skystalker Head
Bounce,"After an enemy Casts a single-target spell on one of your creatures, this creature has a 50% chance to Cast the spell on a random enemy. This trait does not stack.",Sonicscreecher Head
Currents,"After an enemy gains stats, this creature afflicts it with a random debuff.",Toxicfang Head
Spell Stealer,"After an enemy Casts a spell on all its allies, this creature has a 50% chance to Cast the same spell on your creatures as well. This trait does not stack.",Windrider Head
Master of Wyverns,Your Wyverns take 80% less damage from spells. This trait does not stack.,Sigil of the Wyvern
Winter Has Come,"At the start of battle, this creature afflicts 2 random enemies with Frozen.",Ancient Snowball
Thermal Void,Enemies take 50% more damage while they are Frozen. This trait does not stack.,Chillbreeze Snowball
Ice Nova,"After this creature Provokes, each enemy has a 50% chance to be afflicted with Frozen.",Coldslam Snowball
Brain Freeze,"After this creature is Attacked, the enemy is afflicted with Frozen.",Frostbite Snowball
Lingering Frost,"After an enemy's Frozen debuff expires, this creature afflicts it with Snared.",Icemane Snowball
Frost Breath,"After this creature dodges or deals critical damage, each enemy has a 50% chance to be afflicted with Frozen.",Rimefist Snowball
Cold Snap,"When this creature damages a Frozen enemy, it deals 300% more damage and removes the debuff.",Snowsting Snowball
Vext's Antiquity,"When enemies lose stats, increase the amount of stats reduced by 50%. This trait does not stack.",Vext's Fingers
Vext's Boldness,Increases your creature's maximum stat limit before they are subjected to diminishing returns by 50%. This trait does not stack.,Vext's Eyebrows
Vext's Invocation,"When your creatures gain stats, increase the amount of stats gained by 50%. This trait does not stack.",Vext's Toes
Master of Yetis,"At the start of battle, enemies are afflicted with Frozen if all the creatures in your party are Yetis.",Sigil of the Yeti
Zantai's Boon,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now grants your creatures 3 random buffs.",Jewel of Zantai (Purple)
Zantai's Call,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now grants your creatures 3 random minions.",Jewel of Zantai (Red)
Zantai's Cunning,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic ignores 15% of the enemies' Defense.",Jewel of Zantai (White)
Zantai's Embrace,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now heals your creatures equal to 100% of the damage dealt.",Jewel of Zantai (Cyan)
Zantai's Envy,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now afflicts enemies with 3 random debuffs.",Jewel of Zantai (Orange)
Zantai's Havoc,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now deals a devastating amount of damage.",Jewel of Zantai (Blue)
Zantai's Inhibition,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now decreases enemies' stats equal to 25% of the damage dealt.",Jewel of Zantai (Green)
Zantai's Perfection,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic has 3 extra Charges.",Jewel of Zantai (Yellow)
Zantai's Stratagem,"At the start of battle, this creature gains Mega Magic. The damage of your creatures' Mega Magic is now based on their highest stat.",Jewel of Zantai (Teal)
Zantai's Reign,"At the start of battle, this creature gains Mega Magic. Your creatures' Mega Magic now increases your creatures' stats equal to 5% of the damage dealt.",Jewel of Zantai (Magenta)
Abyss Orbs,"If an enemy has taken at least 2 turns, they are afflicted with a random debuff at the start and end of their turn. This trait does not stack.",Dark Stick
Adaptive Tactics,Your creatures' attacks ignore 5% of the enemies' Defense (up to 50%) for each time a creature died in the current battle. This trait does not stack.,Weapon Kit
Alchemist's Buffer,This creature takes 50% less damage from spells and 50% more damage from attacks. This creature has 50% more Intelligence and 50% less Attack.,Corruptium
Anatidaephobia,All creatures' attacks make a quacking sound.,Rubber Ducky
Anointed,"After this creature Attacks, it gains 20% Speed.",Prismatic Feather
Anti-Magic Field,Your creatures have a 35% chance to avoid debuffs. This trait does not stack.,Vexting Salt
Arcane Echo,"After your creatures manually Cast a spell, they creature Casts a random spell from the same class.",Arcane Puzzle
At Peace,"After your creatures are resurrected, they gain a Barrier equal to 100% of the amount of Health they resurrected with. This trait does not stack.",Angelic Tears
Aura Boost,Increases the effectiveness of this creature's first Stat Slot by 400%.,Mathematics Textbook
Bonding,"After your creatures are killed, they have a 7% chance to be resurrected with 50% Health for each
creature that belongs to the same class fighting on your side. This trait does not stack.",Soul Stones
Boss Powers,"At the start of battle, your creatures gain 50% Maximum Health. Your creatures take 50% more damage. This trait does not stack.",Obvious Weak Spot
Cauterize the Wound,"This creature is healed instead of damaged by Bleeding and Burning, but at 50% effectiveness.",Lava Bubble
Celestial Nexus,"While this creature has Barrier or Shelled, it takes damage from attacks and spells in place of your other creatures. This trait does not stack.",Celestial Map
Chaotic Disposition,"After an enemy is afflicted with a debuff, this creature has a 10% chance to Cast Debilitating Blast.",Sickly Toad's Stool
Charging Rod,"After another creature Casts a spell, this creature has a 30% chance to interrupt it and all its Spell Gems gain 1 Charge. This trait does not stack.",Cold Iron Needle
Consecrated Ground,This creature and its adjacent allies are immune to damage from minions and take 35% less indirect damage. This trait does not stack.,Sacred Mace
Conspiracy Theory,"After you defeat a Treasure Golem, your creatures gain several bonuses for the rest of the time you're in that Realm. This trait does not stack.",Broken Thermometer
Coward's Embrace,"Your creatures have a 50% independent chance to dodge, but they can't deal critical damage. This trait does not stack.",Crystallized Cowardice
Dead of Winter,"After an enemy afflicts a debuff, it is afflicted with Frozen and Poisoned.",Alchemical Frost
Deep Roots,"When this creature takes damage from a creature that belongs to its class, it has a 75% chance to avoid that damage.",Ancient Soulsoil
Determination,"After an ally dies, this creature gains 50% Defense.",Gold Star of Courage
Dragon's Rage,"At the start of this creature's turn, it Casts Fireball.",Draco Rubies
Dualcast,"At the start of this creature's turn, it Casts the most recent spell it Cast again.",Ring of Echoes
Eldritch Rune,"At the start of battle, this creature's Maximum Health is set to 50%. This creature's spells are 100% more potent.",Tome of Eldritch Knowledge
Ember Soul,"While this creature has Burning, it has 75% more Attack and Speed.",Souls of the Ineffable
Embiggening,This creature gains 100% more stats.,Pulsing Stone
Emerald Blessings,This creature gives and receives 150% more healing.,Emerald Tide Scrap
Erratic,"At the start of battle, one of your creatures is chosen to have 150% more stats (other than Health) for the rest of battle.",Strange Smoke
Firedevil's Will,Your creatures are immune to Burning and enemies take 50% more damage from this debuff. This trait does not stack.,Firedevil's Tears
Flash Barrier,This creature takes 90% less damage until the start of its first turn.,Barrier Parts
Flower Power,"At the start of battle, your creatures gain 3 random Nature Spell Gems. This trait does not stack.",Weeds and Seeds
Forced Momentum,"At the start of your creatures' turns, they have a 35% chance to gain a random trait. This trait does not stack.",Cursed Scope
Frostburn,"After an enemy takes damage from Burning, it is afflicted with Frozen. This trait does not stack.",Frigid Flame
Frozen Legion,"After your creatures Attack an enemy with Frozen, they gain 1 stack of Zombies. This trait does not stack.",Meat Popsicle
Gambler's Game,"At the start of each creature's turn, it has a 50% chance to gain a random debuff. Otherwise, it gains a random trait. This trait does not stack.",Riskium
Gem Leech,"After this creature Attacks, it Casts one of the target's Spell Gems.",Crystalline Bloodsucker
Glitch In The System,"When a creature would gain a buff, it is afflicted with a random debuff instead.",Fried Circuitry
Guards!,"After this creature Attacks an enemy with Stone, it has a 30% chance to be killed.",Handcuffs
Heads or Tails,"After this creature Attacks, it has a 50% chance to gain a random buff. Otherwise, it gains a random minion.",Lucky Coin
Hederas's Grasp,"After this creature Attacks, it afflicts the target and the creatures adjacent to the target with Snared. This creature’s attacks deal 40% more damage.",Bindwood
Hemophilia,Enemies' Bleeding debuffs last forever and deal 35% more damage. This trait does not stack.,Bloody Rags
Her Embrace,This creature's Attacks deal 150% more damage and it has a 100% chance to deal critical damage. This creature skips every other turn.,Oni Fragment
Hidden Potential,"At the start of this creature's second turn, it recovers 100% Health and gains 100% stats (other than Health).",Self-Help Book
High Risk,Your creatures deal 40% more damage and take 10% more damage for each turn they've taken in the current battle. This trait does not stack.,Drake Scale
Hive,This creature has 15% more stats (other than Health) for each other creature with this trait fighting on your side.,Hivestone
Hoarding,This creature has 50% more Intelligence for each different class of Spell Gem it has equipped.,Sentimental Rock
Horde Limits,"After your creatures are afflicted with a debuff, they have a 25% chance to gain Immune. This trait does not stack.",Vaccine
Imposter Syndrome,"At the start of battle, this creature gains stats (other than Health) equal to 50% of your other creatures' highest stats.
This creature starts battles at the bottom of the Timeline.",Shattered Mirror
Improbable Catapult,"At the start of this creature's turn, enemies gain a copy of its innate trait. This trait can only activate once per side.",Trait Launcher
In All Things,"At the start of this creature's turn, it gains stats equal to 20% of its highest stat.",Broken Scales
Incoming Tide,"At the start of this creature's turn, it has a 50% chance to Cast Submerge.",Selene's Soul
Infestation,"At the start of your creatures' turns, they gain 1 to 3 stacks of Spiderlings. This trait does not stack.",Clump of Spiderlings
Insight,Your creatures can target Invisible enemies.,Lens of Insight
Jiggly,This creature has 50% less Defense and 100% more Speed.,Gelatin Lump
Law of the Large,This creature has additional Speed equal to 30% of its Current Health.,The Tedious Device
Lion's Roar,"After this creature deals damage, it decreases the enemy's Attack and Defense by 30%.",Lion Toy
Lithos Evolution,"At the start of your creatures' turns, they gain 10% Maximum Health. This trait does not stack.",Lithos Sinew
Lord of Undeath,"After one of your creatures' minions go away, all your creatures gain a random minion. This trait does not stack.",Legendary Undead Fragment
Love Giveth,Your creatures gain 50% more Maximum Health from stat-increasing effects. This trait does not stack.,Still-Beating Heart
Mad Man,"While your creatures are below 50% Health, they have 50% more stats (other than Health). This trait does not stack.",Crazy Man's Corpse
Mass Pandemic,"After an enemy takes damage from Poisoned, the potency of all enemies' Poisoned debuffs is increased by 15%. This trait does not stack.",Dice Set
Mathemagic,"This creature's on-attack, on-cast, on-defend, and on-provoke effects have a 50% chance to activate 1 additional time.",Slide Rule
Means to an End,"While this creature has no buffs (excluding buffs gained from Realms), it deals 125% more damage.",Empty Offering
Minion Master,"At the start of this creature's turn, it gains a random minion and its current minions gain 1 stack.",Minion Master Staff
Minions First,This creature has a 20% chance to take an additional turn for each minion it has. This trait can only activate once per turn.,Minion Accelerator
Myosotis,This creature's attacks use Intelligence instead of Attack to determine the damage dealt.,Scorpion Grass
Necromancy,"After a creature dies, your creatures gain 1 to 3 stack of Zombies. This trait does not stack.",Jimly's Tome
Never Fade,This creature and its adjacent allies are immune to disarmed.,Broken Lantern
Ninetail's Revenge,"After your creatures are Attacked, they gain Attack equal to 20% of the damage received. This trait does not stack.",Fluffy Tail
Ninetail's Trickery,"At the start of battle, this creature gains a copy of each enemies' first Spell Gem. This trait does not stack.",Pristine Fox Fang
Pact of Strength,Your creatures deal 6% more damage for each creature of the same class fighting on your side. This trait does not stack.,Ritual Writings
Panicked Overheals,"After this creature is killed, your other creatures recover 200% Health.",Scerbonium
Parity,"If your creatures have Cast an even number of spells, 30% of their Speed is added to their spells' potency.
If your creatures have Cast an odd number of spells, 30% of their Defense is added to their spells' potency. This trait does not stack.",Integerite
Pedigree Safeguard,This creature intercepts attacks on allies that belong to its race.,Ancestral Shield
Perfectly Balanced,"At the start of this creature's turn, its Health is set to 50%.",Battered Scales
Perishing Salvo,"After this creature dies, it deals damage to enemies equal to 15% of its Intelligence multiplied by the Attack increases granted by its Artifact's Stat Slots.",Fading Garnet
Plunder,"After this creature Attacks, it steals an amount of the target's lowest stat equal to 50% of the damage dealt.",Pirate's Treasure
Pocket Frog,"At the end of this creature's turn, one of your other creatures has a 50% chance to be sent to the top of the Timeline.
This trait only activates if none of your other creatures have it.",Pocket Tadpole
Power Trip,This creature has 50% more stats (other than Health) for each trait it has gained during battle.,Crown of Kings
Prepared,The Timeline order is determined by your creatures' Intelligence rather than their Speed.,Mage's Playbook
Providence,"While this creature has Shelled, it has 150% more Attack and Intelligence.",Blade of Divinity
Pull the Strings,"When this creature Attacks, one of your other creatures Attacks instead for 50% more damage. This trait does not work if any of your other creatures have it as well.",Spectral String
Rainbow Palate,This creature has 25% more stats (other than Health) for each different class of creature fighting on your side.,Prismatic Stone
Rave,Your creatures deal 6% more damage for each creature of the same race fighting on your side. This trait does not stack.,Glowstick
Restoration,This creature's stats are not reset after it is killed.,Rogue's Hood
Rise of the Phoenix,"After your creatures with Burning are killed, they have a 35% chance to be resurrected with 20% Health. This trait does not stack.",Ash of Renewal
Roll the Dice,"At the end of this creature's turn, it Casts 2 of its Ethereal Spell Gems.",Die Fragments
Scared Stiff,"After an enemy is afflicted with Snared or Feared, this creature afflicts them with whichever of these debuffs the target doesn't already have.",Cursed Cobweb
Scheming Stance,"After this creature Defends or Provokes, 3 enemies are affliected with Feared.",Scheming Shield
Screech of Domination,"After this creature Attacks, it gains copies of the enemy's minions.",Conch of the Siren
Seed of Potentiality,"After this creature gains a stat, it gains 200% of this amount of another stat (other than Health).
The stats gained from this trait do not activate effects that occur when stats are gained.",Ouroboros Key
Seethe,This creature deals 20% more damage for each time it has taken damage in the current battle.,Stolen Pig
Shrapnel Blast,"After an enemy takes damage at the start of its turn from Bomb, all other enemies take 50% of that damage as well. This trait does not stack.",Bomb Scraps
Shattering Tackle,"Your creatures' attacks ignore 2.5% of the enemies' Defense for each Yeti creature fighting on your side.
This bonus is doubled if the enemy is afflicted with Frozen. This trait does not stack.",Special Snowball
Shining Armor,"While your creatures have Barrier, they have 50% more Defense. This trait does not stack.",Crab Shield
Snack Break,"At the start of this creature's turn, it recovers 200% Health and loses 20% Speed.",Bag of Chips
Sobered Up,Your creatures can manually Cast Booze Spells.,Empty Beer Mug
Soul Steal,"After this creature Attacks, its Spell Gem with the lowest number of remaining Charges gains 1 Charge. This creature’s attacks deal 75% more damage.",Bloody Soul Crystal
Spin the Wheel,"Whenever it is an enemy's turn, any random effects that fail to occur are re-rolled an additional time. This trait does not stack.",Broken Roulette Wheel
Spontaneous Entropy,"At the end of this creature's turn, its Ethereal Spell Gems are replaced with different ones. This creature’s Ethereal Spell Gems are 50% more potent.",Essence of Entropy
Squadron Leader,This creature has 20% more stats (other than Health) for each minion it has.,Tactician's Manual
Sting Martyr,"This creature's attacks deal 125% more damage. After this creature Attacks, it loses 10% Maximum Health.",Sacrificial Stinger
Sugar Rush,"When this creature Casts a spell, the spell has 25% more potency for each buff it has. At the end of this creature's turn, its buffs are removed.",Can o' Canth
Superfluidity,"When your creatures automatically Cast a spell, they have a 5% chance to be considered manual casts. This trait does not stack.",Lunar Dust
Sustain,"After this creature deals damage, it recovers Health equal to 10% of the damage dealt.",Universal Blood
Swarming Horde,Your creatures have 4% more stats (other than Health) for each creature of their same race fighting on your side. This trait does not stack.,Boon of the Swarm
Swelling Ranks,"After this creature Provokes, it grants copies of one of its minions to your other creatures.",Torn Flag
Sword of Will,"After this creature Attacks, and the damage exceeds 300% of the target's lowest stat, it is killed.",Non-Existent Blade
Synthesis,"After your creatures gain a minion, they gain 30% of their highest stat. This trait does not stack.",Discarded Blood
The Best Medicine,"When one of your creatures would be afflicted with a debuff, they have a 25% chance to afflict a random enemy with that debuff instead. This trait does not stack.",Caduceus Staff
The King Is Dead,"After one of your creatures is healed, this creature has a 20% chance to be resurrected with 100% Health.",Rusted Crown
The Shadows,"After this creature is killed for the first time in battle, it is resurrected with 100% Health and your creatures gain 25% Attack and Intelligence.",Extracted Shadow
Toxic Cloud,"After an enemy Attacks, each other enemy has a 35% chance to be afflicted with a random debuff. This trait does not stack.",Poisonous Gas
Toxic Karma,"After this creature is Attacked, the enemy is afflicted with Poisoned and Bomb.",Verdant Stone
Training Matrix,"After your creatures are resurrected, they gain 25% stats. This trait does not stack.",Neural Chip
Tribe Mentality,"At the start of battle, creatures adjacent to this creature change their class to match this creature's class.",Leader's Mantle
True Strike,This creature's attacks ignore 25% of enemies' Defense and act as if this creature is strong against the enemy's class.,Vorpal Core
Undead Legion,Your creatures can have 5 additional stacks of Zombies. This trait does not stack.,Giant Pile of Corpses
Unrelenting Fury,This creature deals 150% more damage while it is below 50% Health.,Warrior's Dying Rage
Unrevealed Secret,"After this creature dodges an attack, the enemy is afflicted with a random debuff.",Cryptid Tarot
Unstable Existence,"After any creatures takes damage from a creature and their resulting Health is below 50%, they deal
damage to their adjacent alllies equal to 100% of the damage taken. This trait does not stack.",Instability
Usury,This creature deals 150% more damage with attacks and takes 75% more damage from attacks.,Savings Bond
Vengeful Rebound,Your creatures take 75% less damage until the start of their first turn. This trait does not stack.,Glass Eye
Vicious Retaliation,"After this creature dodges, it Attacks the enemy. This attack deals 50% more damage if this creature is Provoking.",Mysterious Scroll
Why Won't You Die?,"After this creature causes 0 damage with an attack or spell, it gains 12% Attack and Intelligence.
This trait does not work on damage that is completely prevented by other effects. This trait can activate a maximum of 1 time per turn.",Sharpened Knife
Widdershins,Class strengths and weaknesses are reversed.,Contrary Clock
Blue Tether,"When an adjacent creature would take damage or gain a buff or debuff, this creature becomes the new target instead.",Blue Shackle
Green Tether,"After an adjacent ally heals a creature, this creature is healed for the same amount and gains a Barrier that absorbs damage equal to 100% of the amount healed. This trait does not work with creatures that also have this trait.",Green Shackle
Master of Animations,Your Animations creatures have a 50% chance to receive all effects that require them to be adjacent to your other creatues. This trait does not stack.,Sigil of the Animation
Purple Tether,"After an adjacent ally Casts a spell, this creature Casts that spell as well.",Purple Shackle
Red Tether,"After an adjacent ally Attacks, this creature Attacks the enemy as well. This trait does not work with creatures that also have this trait.",Red Shackle
Silver Tether,"After an adjacent creature is killed, this creature gains 60% of its stats (other than Health).",Silver Shackle
Yellow Tether,"After this creature deals critical damage, its adjacent allies gain 30% Attack and Speed. This creature always has Savage.",Yellow Shackle
In Favor of All,"After start-of-battle effects are determined, this creature's lowest stat is set equal to its highest stat.",Scaly Scales
In Favor of Creation,"After start-of-battle effects are determined, 40% of this creature's Intelligence is added to that of your other creatures.",Brainy Scales
In Favor of Destruction,"After start-of-battle effects are determined, 40% of this creature's Attack is added to that of your other creatures.",Emoting Scales
In Favor of Escape,"After start-of-battle effects are determined, 40% of this creature's Speed is added to that of your other creatures.",Swift Scales
In Favor of Protection,"After start-of-battle effects are determined, 40% of this creature's Defense is added to that of your other creatures.",Durable Scales
In Favor of Survival,"After start-of-battle effects are determined, 40% of this creature's Maximum Health is added to that of your other creatures.",Vital Scales
Master of Arbiters,"If all the creatures in your party are Arbiters, their innate traits are 50% more powerful. This trait does not stack.",Sigil of the Arbiter
"Better, Faster, Stronger","Your creatures' minions repeat their effects twice. If they don't have an effect that can be repeated, they are instead 100% more powerful. This trait does not affect Illusion. This trait does not stack.",N/A
Boundless Creativity,"After a creature gains or loses stats, its allies gain or lose 15% of those stats as well. This trait does not stack.",N/A
Fae Dust,Your creatures deal 5% more damage with attacks and spells and take 5% less damage (up to 90%) for each time they've Attacked or Cast a spell in the current battle. This trait does not stack.,N/A
Gemcutter,Your creatures' Ultimate Spell Gems cannot be sealed and do not consume Charges. Your creatures are immune to Silenced.,N/A
Grandiose,"At the end of your creatures' turns, their turn counter increases by 3 additional turns. In addition, your creatures act as if they have 3 more buffs, debuffs, and minions than they actually have. This trait does not stack.",N/A
Robotic Armor,"Your creatures are resistant to debuffs. After your creatures are afflicted with a debuff, they have a 50% chance to gain Immune. This trait does not stack.",N/A
Speculation,"When your creatures Attack or Cast a spell, they have a 100% chance to do so 1 additional time. This effect can occur repeatedly, but the chance decreases by a multiplicative 25% each time. This trait does not stack.",N/A
Surge of Vitality,"After your creatures Attack or are Attacked, they gain 20% Maximum Health. This trait does not stack.",N/A
Twilight Zone,"Enemies deal damage with attacks and spells using their lowest stat, rather than their Attack or Intelligence. In addition, enemies take damage from attacks and spells based on their lowest stat, rather than Defense.",N/A
Due Recompense,"Your Nature creatures and Beacon creatures always have Leeching. When an enemy Nature creature would gain a stat, it loses that stat instead.",Predator's Lantern
Eternal Reprieve,"At the start of each of your creatures' turns, all of your creatures have a 25% chance to recover 20% Health. This trait does not stack.",Mendicant's Lantern
Forbearance Forgone,"Your Sorcery creatures and Beacon creatures always have Protected. After an enemy Sorcery creature Casts a spell, that Spell Gem is Sealed and this creature's Spell Gems gain 1 Charge.",Stoic's Lantern
Heavy Weighs the Crown,Your Chaos creatures and Beacon creatures always have Animated Gem.,Tyrant's Lantern
Master of Beacons,"At the start of battle, your Beacons' stats are averaged and then increased by 25%. This trait does not stack.",Sigil of the Beacon
Pendulum's Return,"Your Death creatures and Beacon creatures always have Agile. When an enemy Death creature would afflict your creatures with a debuff, they afflict them with a buff instead.",Desecrator's Lantern
Purity and Emptiness,"Your Life creatures and Beacon creatures always have Berserk. When an enemy Life creature would heal one of its allies, it heals one of your creatures instead.",Zealot's Lantern
By My Hand,"When your creatures damage enemies with Shelled, all subsequent effects such as on-attack or on-cast effects are no longer prevented.",Celestine Energy
Great Conjunction,"After your creatures are killed, they have a 25% chance to be resurrected with 50% Health and a Barrier that absorbs damage equal to 50% of their Maximum Health. This trait does not stack.",Radiant Energy
Master of Cherubs,"If all the creatures in your party are Cherubs, the maximum absorption of their Barrier buffs is increased by 200%. This trait does not stack.",Sigil of the Cherub
Or Else By None,"After this creature Provokes, its Barrier shatters, dealing damage to enemies equal to 50% of its potency and healing your creatures for the same amount.",Sinister Energy
Sundered and Undone,"When your creatures with Barrier take damage, the Barrier shatters, dealing damage to enemies equal to 35% of its potency. This trait does not stack.",Negative Energy
The Two Made One,Your creatures' Barrier buffs have 75% more maximum absorption. This trait does not stack.,Floral Energy
Triple Suns,"Your creatures take 90% less damage from Bleeding, Poisoned, Burning, and Bomb.",Blazing Energy
Appreciation For Ancestry,Your creatures deal 75% more damage and take 50% less damage from creatures that belong to their Fused creature's class. This trait does not stack.,Forbidden Recipe
Divine Form,"At the start of battle, your creatures gain 100% more of whatever stat corresponds to their Fused creature’s class. This trait does not stack.",Complicated Recipe
Eldritch Creation,"At the start of battle, your creatures gain 2 Spell Gems that corresponds to their Fused creature's class. This trait does not stack.",Impossible Recipe
Fairy Blood,"At the start of battle, your creatures gain a random trait that belongs to their Fused creature's class. This trait does not stack.",Natural Recipe
Master of Chimeras,"If all the creatures in your party are Chimeras, they take 75% less damage from creatures that belong to their fused creature's class. This trait does not stack.",Sigil of the Chimera
Raging Spirit,"After your creatures are killed, they have a 25% chance to be resurrected with 50% Health and gain a random trait that belongs to their Fused creature's race. This trait does not stack.",Orthodox Recipe
Valiant Heart,Your creatures Attack and Cast 1 additional time for each creature with the same secondary Fusion fighting on your side. This trait does not stack.,Hidden Recipe
Autonomous Attack,"At the start of this creature's turn, it gains 10% Attack plus 10% of the total amount of Attack it has received in the current battle.",Neural Attack Implant
Autonomous Defense,"At the start of this creature's turn, it gains 10% Defense plus 10% of the total amount of Defense it has received in the current battle.",Neural Defense Implant
Autonomous Health,"At the start of this creature's turn, it gains 10% Maximum Health plus 10% of the total amount of Maimum Health it has received in the current battle.",Neural Health Implant
Autonomous Intelligence,"At the start of this creature's turn, it gains 10% Intelligence plus 10% of the total amount of Intelligence it has received in the current battle.",Neural Intelligence Implant
Autonomous Network,"After your Clockwork creatures' innate traits activate, your other creatures gain 10% of these stats as well. This trait does not stack.",Neural Hive Network Implant
Autonomous Speed,"At the start of this creature's turn, it gains 10% Speed plus 10% of the total amount of Speed it has received in the current battle.",Neural Speed Implant
Master of Clockworks,"If all the creatures in your party are Clockworks, their innate traits are 50% more powerful. This trait does not stack.",Sigil of the Clockwork
High Performance,Your Electropod creatures have 7% more Speed for each empty Spell Gem slot they have. Maximum of 8 Spell Gem slots per creature. This trait does not stack.,Inductor
Infinite Scaling,"At the start of battle, your Electropod creatures share 15% of their Speed with each other. This trait does not stack.",Transformer
Malware,"At the start of each enemy's turn, this creature has a 20% chance to deal damage to them equal to 40% of its Speed. This trait does not stack.",Diode
Master of Electropods,"If all the creatures in your party are Electropod, they gain 50% more Speed from stat-boosting effects. This trait does not stack.",Sigil of the Electropod
Networking,Your creatures' Electropod traits act as if your party contains 3 more Electropod creatures. This trait does not stack.,Resistor
Spin Cycle,"At the start of this creature's turn, it deals damage to a random enemy equal to 75% of its Speed.",Transistor
Thread Pool,Your Electropod creatures have 10% more Speed for each Electropod fighting on your side. This trait does not stack.,Capacitor
Alchemist's Fury,"After this creature Attacks, it afflicts the target with Blind and Confused.",Corrupted Geode
Ancient Buffoonery,This creature deals 15% more damage for each creature below it on the Timeline at the start of battle.,Electric Fossil
Ancient DNA,This creature's race is always the same race as the creature that is at the top of the Timeline.,DNA Splicer
Assimilate,"After this creature takes damage from an attack or spell, it gains 5% stats.",Fragmented Blood
Backup Packup,"After this creature Attacks, one of your creatures gains 3 stacks of Dire Wolves.",Werewolf Whistle
Barbearian,"After all start-of-battle effects are activated, this creature Provokes. This creature has 35% more Defense.",Honey Pot
Black Fog,"After this creature afflicts an enemy with a debuff, it deals damage to the enemy equal to 15% of its lowest stat for each debuff the enemy has.",Black Raindrop
Bloodripper,"After this creature Attacks, it afflicts the target with Bleeding. If the target already has Bleeding, it deals 120% more damage.",Blood Banner
Breakneck,This creature ignores enemies' Barrier and Shelled buffs.,Piercing Legs
Bulky Body,"This creature has 100% more stats (other than Health), but has a 50% chance to lose its turn.",Muscular Stone
Burden of Guilt,"After this creature Defends, all creatures lose 1 buff and 1 debuff.",Unlit Candle
Cantripology,"After this creature Attacks, it Casts its top-most, Unsealed Spell Gem. Then, that Spell Gem is Sealed.",Ametrine Shard
Celestial,Your Exotic creatures always have Mending and Leeching.,Constellation of Kirin
Chaotic Mind,"When this creature Casts a spell, the spell's potency is 100% to 200% of its normal amount.",Math Textbook
Chaotic Potential,"After this creature gains stats, it has a 5% chance to Cast a random Morph spell.",Anarchic Egg Shell
Clawtail Symbiosis,"After this creature Attacks, it takes another turn. This trait only allows the creature to take an additional turn once at a time.",Clawtail Parasite
Conductivity,Your creatures' Splashing buffs deal 100% more damage. This trait does not stack.,Lightning Fin
Confusion and Empathy,"This creature's spell potency is based on its Attack, and the damage of its attacks is based on its Intelligence.",Warped Neuron
Connections,Your creatures have 10% more stats (other than Health) for each Exotic creature fighting on your side. This trait does not stack.,Constellation of Genbu
Corpse Keeper,"At the start of your creatures' turns, they gain 1 stack of Zombies. This trait does not stack.",Grave Shovel
Counter Slash,"After this creature is Attacked, it deals damage to the enemy equal to 65% of this creature's Attack.",Avion Claw
Crab Trap,"After this creature is Attacked while it is Defending, it reduces the enemy's Defense and Speed by 35%.",Buttery Bait
Death Sentence,This creature deals 125% more damage to enemies with Feared.,Dark Cloak
Double Vision,"After this creature Attacks, it has a 40% chance to Cast its top-most Spell Gem.",Eye Glasses
Draconic Arrogance,This creature has additional stats (other than Health) equal to 5% of your other creatures' highest stats. This trait ignores other creatures with this same trait.,Pure Dragon Blood
Drake's Favor,"This creature has 35% more Attack, Defense, and Speed.",Burial Gift
Eery Veil,"At the start of battle, this creature and creatures adjacent to it gain Invisible.",Ghostly Ear
Feather Dance,"After your Exotic creatures gain a buff, they gain 20% Defense. This trait does not stack.",Constellation of Suzaku
